,ts_pct,trb_pct,ast_pct,ows,dws,ws_per_48,mp_per_g,fg_per_g,fga_per_g,fg_pct,efg_pct,ast_per_g,pts_per_g
Jerry Sichting,0.567,3.3,20.8,2.5,1.0,0.094,25.8,4.6,8.9,0.521,0.528,3.8,11.0
Jim Thomas,0.534,6.7,15.9,1.8,1.7,0.081,25.7,4.3,9.1,0.478,0.483,2.9,11.1
Tony Brown,0.503,9.6,13.4,0.4,1.4,0.054,19.3,2.6,5.7,0.46,0.46,1.9,6.6
Bill Garnett,0.541,13.4,8.0,0.3,1.2,0.063,17.3,2.3,4.8,0.481,0.481,1.0,6.4
Terence Stansbury,0.512,4.7,13.8,0.5,1.0,0.056,17.3,2.8,6.2,0.459,0.463,1.7,7.1
Kenton Edelin,0.333,9.6,8.2,0.0,0.2,0.042,14.3,0.4,1.3,0.308,0.308,1.0,1.1
Devin Durrant,0.47,8.6,14.5,-0.7,0.6,-0.008,12.8,1.9,4.6,0.416,0.416,1.4,5.1
Ralph Jackson,0.333,4.4,41.7,0.0,0.0,0.069,12.0,1.0,3.0,0.333,0.333,4.0,2.0
Greg Kelser,0.475,8.8,16.3,-0.1,0.1,0.025,11.4,2.1,5.3,0.396,0.396,1.3,6.2
Granville Waiters,0.469,12.8,5.6,-0.6,0.9,0.015,11.3,1.4,3.1,0.447,0.447,0.5,3.2
Stuart Gray,0.453,16.6,4.8,-1.0,0.5,-0.052,7.5,0.7,1.8,0.38,0.38,0.3,2.0
Alex English,0.561,8.3,17.9,6.8,2.1,0.146,36.1,11.6,22.4,0.518,0.518,4.2,27.9
Calvin Natt,0.604,12.2,12.4,8.0,2.3,0.185,34.1,8.8,16.1,0.546,0.546,3.1,23.3
Fat Lever,0.479,8.6,29.5,2.1,3.2,0.098,31.2,5.2,12.0,0.43,0.434,7.5,12.8
T.R. Dunn,0.531,9.0,7.4,2.1,2.3,0.092,28.3,2.2,4.4,0.489,0.489,1.9,5.4
Wayne Cooper,0.505,16.6,5.4,0.9,2.6,0.082,25.4,5.1,10.7,0.472,0.472,1.1,12.1
Dan Issel,0.528,10.5,10.7,2.7,1.7,0.124,21.9,4.7,10.3,0.459,0.46,1.8,12.8
Bill Hanzlik,0.495,6.6,14.8,0.8,1.4,0.063,20.9,2.8,6.5,0.421,0.422,2.6,7.8
Elston Turner,0.497,7.7,12.4,0.8,1.5,0.075,18.4,2.2,4.8,0.466,0.468,2.0,5.1
Mike Evans,0.568,4.4,21.4,1.9,1.0,0.098,17.7,4.0,8.2,0.489,0.532,2.9,10.1
Danny Schayes,0.58,14.2,8.1,0.6,0.7,0.109,9.7,1.1,2.3,0.465,0.465,0.7,3.6
Joe Kopicki,0.61,14.9,11.6,0.5,0.3,0.135,7.3,1.2,2.3,0.526,0.537,0.7,3.5
