,ts_pct,trb_pct,ast_pct,ows,dws,ws_per_48,mp_per_g,fg_per_g,fga_per_g,fg_pct,efg_pct,ast_per_g,pts_per_g
Gail Goodrich,0.51,4.4,18.4,5.2,3.0,0.145,35.5,9.9,21.3,0.464,0.464,4.4,23.9
Bill Bridges,0.518,14.3,9.5,2.4,4.1,0.126,34.6,4.0,8.3,0.479,0.479,2.7,9.8
Happy Hairston,0.561,18.0,9.3,2.4,1.8,0.214,33.5,5.6,11.7,0.482,0.482,2.4,16.3
Keith Erickson,0.461,8.0,15.9,0.2,2.6,0.07,25.3,3.9,9.2,0.43,0.43,3.2,9.0
Leroy Ellis,0.308,9.6,2.2,-0.4,0.2,-0.061,15.6,1.1,4.0,0.275,0.275,0.3,2.6
Pat Riley,0.468,3.7,13.7,0.2,0.8,0.06,14.6,3.0,7.1,0.428,0.428,1.5,7.3
Jim Price,0.481,6.3,15.5,0.5,1.0,0.088,14.0,2.7,6.1,0.44,0.44,1.6,6.4
Mel Counts,0.483,17.7,13.7,0.4,1.2,0.127,10.4,2.2,4.7,0.457,0.457,1.1,5.0
Flynn Robinson,0.539,6.8,26.2,0.1,0.1,0.219,7.8,2.3,4.7,0.5,0.5,1.3,5.7
John Trapp,0.396,18.2,6.6,-0.1,0.1,0.009,7.0,0.6,2.4,0.25,0.25,0.4,2.6
Bill Turner,0.345,9.7,11.7,-0.4,0.2,-0.082,6.2,0.9,2.7,0.327,0.327,0.6,2.0
Roger Brown,0.379,0.0,0.0,0.0,0.0,-0.04,5.0,0.0,0.0,,,0.0,1.0
Travis Grant,0.49,15.5,7.5,0.2,0.3,0.144,4.6,1.5,3.5,0.44,0.44,0.2,3.8
Nate Thurmond,0.499,18.0,10.4,3.2,6.7,0.14,43.3,6.5,14.7,0.446,0.446,3.5,17.1
Rick Barry,0.508,10.8,18.5,5.2,5.0,0.159,37.5,9.0,19.9,0.452,0.452,4.9,22.3
Jeff Mullins,0.517,5.5,15.5,4.8,3.5,0.133,37.1,8.0,16.3,0.493,0.493,4.2,17.8
Cazzie Russell,0.494,6.6,10.7,2.5,2.7,0.104,30.4,6.8,14.8,0.458,0.458,2.3,15.7
Jim Barnett,0.517,5.2,17.8,3.3,2.8,0.132,27.0,4.8,10.3,0.467,0.467,3.7,11.8
Clyde Lee,0.49,18.4,2.8,0.7,2.6,0.109,22.4,2.6,5.5,0.466,0.466,0.5,6.3
Joe Ellis,0.442,12.2,11.1,-0.5,1.6,0.051,14.2,2.7,6.6,0.409,0.409,1.2,6.3
Ron Williams,0.488,3.6,14.7,0.8,1.1,0.088,13.9,2.5,5.6,0.44,0.44,1.6,6.0
Walt Hazzard,0.476,5.6,22.0,0.3,0.9,0.092,13.7,1.8,4.3,0.418,0.418,2.4,4.5
Charles Johnson,0.446,6.8,17.8,-0.3,1.2,0.05,12.7,2.4,5.7,0.428,0.428,1.7,5.4
George Johnson,0.414,18.0,2.8,-0.3,0.6,0.044,6.2,0.7,1.8,0.41,0.41,0.1,1.6
Bob Portman,0.516,13.2,5.2,0.3,0.3,0.142,5.5,1.0,2.2,0.457,0.457,0.2,2.6
Neal Walk,0.507,15.7,13.2,4.3,2.5,0.105,38.4,8.4,18.0,0.466,0.466,3.5,20.2
Charlie Scott,0.499,5.4,24.8,4.7,1.8,0.101,37.8,10.0,22.3,0.446,0.446,6.1,25.3
Connie Hawkins,0.548,11.2,14.5,5.6,1.9,0.129,36.9,5.9,12.3,0.479,0.479,4.1,16.1
Dick Van Arsdale,0.558,5.3,12.2,7.4,1.4,0.141,36.8,6.6,13.8,0.476,0.476,3.3,18.4
Lamar Green,0.469,17.7,5.4,0.3,1.6,0.045,25.6,2.8,6.5,0.431,0.431,1.1,6.7
Corky Calhoun,0.501,8.1,4.6,1.1,0.9,0.049,24.7,2.6,5.5,0.469,0.469,0.9,6.0
Clem Haskins,0.505,5.3,18.3,2.1,0.8,0.089,20.5,4.4,9.5,0.464,0.464,2.6,10.5
Gus Johnson,0.414,15.8,9.9,-0.5,0.3,-0.02,19.9,3.3,8.6,0.381,0.381,1.5,7.8
Mo Layton,0.477,3.8,19.4,0.6,0.5,0.05,15.2,2.9,6.7,0.431,0.431,2.1,7.1
Paul Stovall,0.41,14.0,7.8,-0.3,0.1,-0.024,8.4,1.0,3.0,0.342,0.342,0.5,3.0
Walt Wesley,0.424,15.1,8.9,-0.3,0.3,-0.01,8.1,1.4,3.4,0.406,0.406,0.5,3.2
Scott English,0.44,10.9,10.5,-0.1,0.1,0.002,6.8,1.2,3.2,0.387,0.387,0.5,3.2
Spencer Haywood,0.532,14.5,10.0,8.8,1.4,0.15,42.3,11.5,24.3,0.476,0.476,2.5,29.2
Dick Snyder,0.507,5.0,14.2,3.2,0.9,0.065,37.3,5.8,12.5,0.463,0.463,3.8,13.8
Jim Fox,0.58,16.1,9.7,5.2,1.2,0.126,33.0,4.3,8.3,0.515,0.515,2.4,11.4
Fred Brown,0.483,6.5,28.2,1.8,1.0,0.057,29.4,6.0,13.1,0.455,0.455,5.5,13.5
John Brisker,0.492,9.3,14.0,1.7,0.6,0.069,23.3,5.0,11.6,0.435,0.435,2.1,12.8
Lee Winfield,0.458,5.6,23.8,0.1,0.4,0.024,20.0,2.7,6.3,0.431,0.431,3.5,6.6
Kenny McIntosh,0.356,9.6,6.2,-2.1,0.4,-0.077,19.7,1.9,5.9,0.326,0.326,0.9,4.5
Butch Beard,0.485,5.9,23.9,1.0,0.5,0.051,19.2,2.6,6.0,0.439,0.439,3.4,6.6
Jim McDaniels,0.44,15.0,9.7,-0.5,0.5,0.001,16.1,2.3,5.7,0.399,0.399,1.1,5.6
Bud Stallworth,0.421,8.7,6.7,-1.3,0.4,-0.036,15.9,2.6,6.8,0.379,0.379,0.8,6.3
Joby Wright,0.478,11.1,5.3,0.3,0.3,0.033,12.1,1.7,3.6,0.478,0.478,0.5,3.9
Charles Dudley,0.566,2.9,21.0,0.2,0.0,0.113,8.3,0.8,1.9,0.435,0.435,1.3,2.8
Gar Heard,0.477,16.8,18.5,0.0,0.0,0.054,5.7,1.3,3.0,0.444,0.444,0.7,3.0
Pete Cross,0.346,20.4,10.0,-0.2,0.1,-0.038,5.1,0.2,0.8,0.286,0.286,0.4,0.8
Geoff Petrie,0.5,4.2,17.4,4.5,0.8,0.081,39.7,10.6,22.8,0.464,0.464,4.4,24.9
Sidney Wicks,0.497,13.3,20.9,4.2,1.3,0.085,39.4,9.5,21.1,0.452,0.452,5.5,23.8
Lloyd Neal,0.522,17.2,7.2,3.7,1.1,0.085,33.2,5.5,11.2,0.494,0.494,1.8,13.4
Ollie Johnson,0.543,9.4,12.2,3.5,0.7,0.093,27.4,3.9,7.9,0.497,0.497,2.6,9.9
Rick Adelman,0.44,4.2,20.4,-0.4,0.5,0.003,24.0,2.8,6.9,0.408,0.408,3.9,6.6
Greg Smith,0.507,11.6,9.8,1.5,0.5,0.061,21.8,3.2,6.5,0.488,0.488,1.6,7.4
Larry Steele,0.528,5.7,15.2,1.5,0.4,0.07,19.7,2.4,5.0,0.483,0.483,2.4,5.9
Charlie Davis,0.463,4.0,18.1,0.2,0.3,0.02,19.3,3.5,8.6,0.412,0.412,2.5,8.9
Dave Wohl,0.459,2.5,21.9,0.1,0.1,0.019,17.9,2.1,5.2,0.412,0.412,3.1,5.4
Terry Dischinger,0.508,9.5,14.3,1.1,0.3,0.069,15.4,2.6,5.4,0.476,0.476,1.6,6.1
Stan McKenzie,0.465,9.5,9.5,0.0,0.0,0.022,15.3,1.9,5.1,0.361,0.361,1.1,5.7
LaRue Martin,0.425,17.4,5.5,-0.8,0.4,-0.019,12.9,1.9,4.8,0.396,0.396,0.5,4.4
William Smith,0.621,9.0,3.3,0.2,0.0,0.199,5.4,1.1,1.9,0.6,0.6,0.1,2.9
Bob Davis,0.261,5.9,6.4,-0.3,0.0,-0.396,4.6,0.7,3.1,0.214,0.214,0.2,1.8
Bill Turner,0.333,12.1,0.0,0.0,0.0,-0.252,4.0,1.0,3.0,0.333,0.333,0.0,2.0
